time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-27T00:33:52.560Z,35.6508333,-117.4425,10.06,1.67,ml,12,120,0.06617,0.19,ci,ci39283024,2020-01-27T15:08:40.628Z,"13km SSW of Searles Valley, CA",earthquake,0.42,0.95,0.178,24,reviewed,ci,ci
2020-01-26T22:13:52.950Z,35.601,-117.385,5.55,1.56,ml,24,107,0.06456,0.2,ci,ci39282960,2020-01-26T22:17:30.487Z,"18km S of Trona, CA",earthquake,0.38,0.92,0.174,22,automatic,ci,ci
2020-01-26T22:11:07.550Z,35.7921667,-117.6356667,7.67,1.59,ml,22,79,0.03893,0.21,ci,ci39282952,2020-01-27T15:09:09.474Z,"19km N of Ridgecrest, CA",earthquake,0.34,0.75,0.151,25,reviewed,ci,ci
2020-01-26T18:24:32.740Z,35.5996667,-117.5875,6.69,1.9,ml,25,66,0.103,0.19,ci,ci39282832,2020-01-27T15:11:22.980Z,"8km ESE of Ridgecrest, CA",earthquake,0.29,0.93,0.175,26,reviewed,ci,ci
2020-01-26T17:30:25.490Z,35.6071667,-117.3883333,2.18,1.85,ml,21,132,0.06363,0.19,ci,ci39282800,2020-01-26T17:34:04.290Z,"18km S of Trona, CA",earthquake,0.32,0.51,0.131,26,automatic,ci,ci
2020-01-26T17:22:28.110Z,35.6168333,-117.4616667,9.97,1.55,ml,21,112,0.03027,0.18,ci,ci39282784,2020-01-27T15:11:27.040Z,"18km SSW of Searles Valley, CA",earthquake,0.34,0.61,0.121,21,reviewed,ci,ci
2020-01-26T15:01:15.100Z,35.6651667,-117.5246667,12.65,1.24,ml,12,155,0.1615,0.16,ci,ci39282728,2020-01-27T15:11:57.653Z,"14km ENE of Ridgecrest, CA",earthquake,0.44,1.19,0.237,13,reviewed,ci,ci
2020-01-26T13:47:11.880Z,35.8036667,-117.6251667,6.29,1.63,ml,19,81,0.0255,0.16,ci,ci39282696,2020-01-27T15:12:40.682Z,"20km WNW of Searles Valley, CA",earthquake,0.31,0.72,0.153,27,reviewed,ci,ci
2020-01-26T11:30:52.460Z,35.6661667,-117.4426667,0.4,1.21,ml,12,107,0.1546,0.18,ci,ci39282624,2020-01-26T11:34:30.949Z,"12km SSW of Searles Valley, CA",earthquake,0.47,0.91,0.164,13,automatic,ci,ci
2020-01-26T09:32:18.200Z,35.617,-117.6005,7.35,1.2,ml,16,105,0.1167,0.2,ci,ci39282568,2020-01-27T15:18:20.912Z,"7km E of Ridgecrest, CA",earthquake,0.36,1.93,0.168,14,reviewed,ci,ci
2020-01-26T07:46:11.190Z,35.6668333,-117.4156667,5.84,1.31,ml,20,128,0.08867,0.22,ci,ci39282520,2020-01-27T15:18:52.332Z,"11km S of Searles Valley, CA",earthquake,0.57,1.46,0.157,15,reviewed,ci,ci
2020-01-26T04:01:51.960Z,35.6425,-117.4853333,8.69,1.32,ml,18,106,0.1531,0.2,ci,ci39282424,2020-01-26T04:05:31.228Z,"16km SSW of Searles Valley, CA",earthquake,0.41,1.54,0.131,18,automatic,ci,ci
2020-01-25T22:40:56.680Z,35.833,-117.6491667,2.91,1.38,ml,20,63,0.04538,0.18,ci,ci39282184,2020-01-25T22:44:38.157Z,"23km WNW of Searles Valley, CA",earthquake,0.26,0.41,0.188,21,automatic,ci,ci
